epoch,train_loss,train_f1,val_loss,val_f1,val_auc,lr
1,0.2410,0.8958,0.0046,1.0000,1.0000,0.000999
2,0.1134,0.9590,0.0100,1.0000,1.0000,0.000996
3,0.1000,0.9654,0.0028,1.0000,1.0000,0.000991
4,0.0784,0.9726,0.0073,1.0000,1.0000,0.000984
5,0.0773,0.9741,0.0051,0.9990,1.0000,0.000976
6,0.0703,0.9755,0.0027,1.0000,1.0000,0.000965
7,0.0680,0.9775,0.0151,0.9959,1.0000,0.000953
8,0.0574,0.9799,0.0016,1.0000,1.0000,0.000939
9,0.0437,0.9847,0.0013,1.0000,1.0000,0.000923
10,0.0437,0.9849,0.0038,0.9990,1.0000,0.000905
11,0.0356,0.9857,0.0055,0.9969,1.0000,0.000886
12,0.0363,0.9885,0.0028,1.0000,1.0000,0.000866
13,0.0401,0.9855,0.0522,0.9685,0.9991,0.000844
