file_name,signal_key,fs,length,dtype,min,max,mean,std
22062212.mat,S1_22062212ud,,2160000,float64,-2.5147784273513874e-05,2.6562368028069954e-05,4.042325807235334e-11,4.710814609169511e-07
22062604.mat,S1_22062604ud,200,2160000,float64,-6.120956283910291e-06,9.725419296136717e-06,3.0076664113199166e-10,4.0769493876948463e-07
22070422.mat,S1_22070422ud,200,2160000,float64,-1.3831931274447949e-05,1.5319220123115164e-05,-6.752506144896534e-10,9.460198745088665e-07
22071117.mat,S1_22071117ud,200,2160000,float64,-5.2796169276996473e-05,6.040790061831671e-05,-4.312270001104769e-10,3.233176449613702e-06
22071213.mat,S1_22071213ud,200,2160000,float64,-2.227679172505924e-05,2.2379099829289648e-05,4.866525482498126e-11,1.2354068179754958e-06
22071305.mat,S1_22071305ud,200,2160000,float64,-4.6609905307687885e-05,2.7639773913784956e-05,3.257866979315222e-10,1.0808619842643641e-06
22071520.mat,S1_22071520ud,200,2160000,float64,-0.00037922452160392173,0.00044563394522552244,8.918060241055423e-10,1.0670206870207162e-05
22072121.mat,S1_22072121ud,200,2160000,float64,-0.00020293230437711147,0.00016052996830757127,7.364735287135167e-10,2.8806155357404353e-06
22081816.mat,S1_22081816ud,200,2160000,float64,-7.511388211982296e-05,6.873162503756952e-05,-2.859156276064132e-10,2.921536090381807e-06
22091705.mat,S1_22091705ud,200,2160000,float64,-2.172718636616076e-05,2.021214327693414e-05,-1.0527536548333358e-10,4.6986812586650257e-07
22092619.mat,S1_22092619ud,200,2160000,float64,-3.5709700254492673e-06,3.5548969220335308e-06,-1.3547277966338081e-10,4.337859781880065e-07
23072704.mat,S1_23072704ud,,2160000,float64,-7.052909669543908e-06,6.502327283678382e-06,-1.0369904481581445e-09,5.08911793050748e-07
23080615_25.mat,S1_23080615_25ud,,2160000,float64,-1.400175838648285e-05,1.6451439286787914e-05,2.5931865579445274e-10,4.945103707891328e-07
23081116_30.mat,S1_23081116_30ud,,2160000,float64,-2.051483764446673e-05,3.16952814122815e-05,3.6495352272545763e-10,1.3248838635509221e-06
23091103_30.mat,S1_23091103_30ud,,2160000,float64,-3.3842155238432906e-06,4.930358858559865e-06,2.893164903702984e-10,3.896724335679391e-07
23091907_15.mat,S1_23091907_15ud,,2160000,float64,-4.443026891040837e-05,6.07804282807696e-05,-1.338222296103194e-10,1.843358927252857e-06
