epoch,train_loss,train_f1,val_loss,val_f1,val_auc,lr
1,0.2750,0.8988,0.0157,0.9979,1.0000,0.000999
2,0.1461,0.9459,0.0242,0.9916,1.0000,0.000996
3,0.1378,0.9522,0.0105,0.9990,1.0000,0.000991
4,0.1086,0.9601,0.0029,1.0000,1.0000,0.000984
5,0.0995,0.9647,0.0022,1.0000,1.0000,0.000976
6,0.1038,0.9662,0.0044,1.0000,1.0000,0.000965
7,0.1004,0.9656,0.0042,1.0000,1.0000,0.000953
8,0.0922,0.9669,0.0061,1.0000,1.0000,0.000939
9,0.0818,0.9718,0.0078,0.9959,1.0000,0.000923
10,0.0875,0.9699,0.0033,1.0000,1.0000,0.000905
11,0.0905,0.9703,0.0031,1.0000,1.0000,0.000886
12,0.0903,0.9702,0.0047,1.0000,1.0000,0.000866
13,0.0662,0.9771,0.0013,1.0000,1.0000,0.000844
14,0.0583,0.9805,0.0009,1.0000,1.0000,0.000821
15,0.0614,0.9777,0.0025,0.9990,1.0000,0.000796
16,0.0504,0.9824,0.0004,1.0000,1.0000,0.000770
